"Page URL","% mobile visits (min 1K visits)",
"www.canada.ca/en/immigration-refugees-citizenship/campaigns/before-apply-india-hi.html",0.952592087,
"www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permitget-documents/other-documents.html",0.939718036,
"www.canada.ca/en/immigration-refugees-citizenship/campaigns/claiming-asylum-ar.html",0.895538244,
"www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/2024/05/mesures-temporaires-pour-soutenir-les-membres-de-la-famille-touches-par-la-crise-en-haiti.html",0.893656819,
"www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/avis/mise-a-jour-programmes-partenariat-colleges-public-prives.html",0.893217893,
"www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/facts-ar.html",0.891697328,
"www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-ar.html",0.855489865,
"www.canada.ca/en/immigration-refugees-citizenship/campaigns/choose-canada.html",0.839274141,
"www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/2023/06/les-voyageurs-admissibles-de-13nouveaux-pays-maintenant-dispenses-de-lobligation-de-visa-pour-entrer-au-canada.html",0.839096683,
"www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/sah-refugees-april-23.html",0.837405223,
