"UTM Campaign","Visits",
"ircc-ircc-expressentry-23-24",3365,
"ircc-ircc-visa-23-24",2129,
"ircc-ircc-passport-tips-2023",371,
"ircc-ircc-welcoming-week-24-25",359,
"ircc-ircc-irrm23",262,
"ircc-ircc-newcomer-services-23-24",243,
"ircc-ircc-express-entry-22-23",201,
"ircc-ircc-career-fair-23-24",107,
"ircc-ircc-op23",75,
"ircc-ircc-irregular-migration-22-23",68,
,,
,,
,,
,,
,,
,,
,,
,,
,,
