"Special measures (E/F)","Visits",
"Immigration measures and support for Ukrainians and their families",35851,
"Situation in Iran: Temporary immigration, passport and citizenship measures",26583,
"Conflict in Sudan: Temporary immigration, passport and citizenship measures",17049,
"Canada’s response to the situation in Afghanistan",15249,
"Crisis in Israel, the West Bank and the Gaza Strip",14744,
