"Link","Clicks",
"Sign in to your IRCC account",769826,
"My application",718027,
"Sign in or create an IRCC secure account",215000,
"Visit",151144,
"Immigrate",120239,
"Work",89614,
"How to check your application status",79987,
"Study",76529,
"Search",76055,
"Check application processing times",44467,
