"Link","Clicks",
"Ouvrez une session dans votre compte de demande de permis d’études",13343,
"Obtenir un permis d’études",7348,
"Vérifiez si vous avez besoin d’un permis d’études",3088,
"Trouver un établissement d’enseignement (établissement d’enseignement désigné)",3039,
"Faire prolonger un permis d’études ou rétablir son statuts",2936,
"Choisir une école, un collège ou une université",2487,
"Travailler pendant ses études",1011,
"Obtenir un permis de travail postdiplôme",876,
"Volet direct pour les études",797,
"Recherche",781,
