"UTM Campaign","Visits",
"ircc-ircc-expressentry-23-24",903,
"ircc-ircc-visa-23-24",597,
"ircc-ircc-irrm23",87,
"ircc-ircc-express-entry-22-23",74,
"ircc-ircc-passport-tips-2023",67,
"ircc-ircc-newcomer-services-23-24",62,
"ircc-ircc-op23",34,
"ircc_ukraine_portal",15,
"ircc-ircc-inclusive-communities-23-24",13,
"ircc-iec-influencers-24",13,
,,
,,
,,
,,
,,
,,
,,
,,
,,
