"Link","Clicks",
"Get a study permit",33258,
"Sign in to your study permit account",26528,
"Extend your study permit or restore your status",23495,
"Find out if you need a study permit",9775,
"Learn more about the changes to open work permit requirements",8313,
"Choosing a school, college or university",5992,
"Get a study permit faster",5473,
"Find a school (designated learning institution)",5180,
"Work while studying",5002,
"Stay and work in Canada after you graduate",4997,
