"Link","Clicks",
"Extend your study permit or restore your status",28641,
"Get a study permit",28613,
"Sign in to your study permit account",25548,
"Find out if you need a study permit",11149,
"Choosing a school, college or university",8450,
"Find a school (designated learning institution)",7200,
"Student Direct Stream",5237,
"Work while studying",4962,
"Stay and work in Canada after you graduate",4483,
"Get a post-graduation work permit",3494,
