"Special measures (E/F)","Visits",
"Immigration measures and support for Ukrainians and their families",38499,
"Situation in Iran: Temporary immigration, passport and citizenship measures",28857,
"Conflict in Sudan: Temporary immigration, passport and citizenship measures",21232,
"Canada’s response to the situation in Afghanistan",20572,
"Crisis in Israel, the West Bank and the Gaza Strip",11556,
