"UTM Campaign","Visits",
"ircc-ircc-expressentry-23-24",548,
"ircc-ircc-visa-23-24",358,
"ircc-ircc-irrm23",48,
"ircc-ircc-express-entry-22-23",41,
"ircc-ircc-passport-tips-2023",33,
"ircc-ircc-newcomer-services-23-24",33,
"ircc-ircc-op23",20,
"ircc-iec-influencers-24",11,
"ircc-ircc-iec-23-24",11,
"ircc-ircc-inclusive-communities-23-24",10,
,,
,,
,,
,,
,,
,,
,,
,,
,,
