"Topic","Clicks",
"Immigrate",107718,
"Work",103226,
"Study",97637,
"Citizenship",43953,
"New immigrants",17378,
"Refugees and asylum",9970,
"Canadians",6765,
"Immigration fraud and scams",2020,
,,
,,
