"UTM Campaign","Visits",
"ircc-ircc-expressentry-23-24",115,
"ircc-ircc-visa-23-24",25,
"ircc-ircc-passport-tips-2023",7,
"ircc-ircc-newcomer-services-23-24",6,
"ircc-ircc-irrm23",5,
"ircc-ircc-irregular-arrivals-23-24",4,
"ircc-ircc-operationalpressures-23-24",4,
"ircc-ircc-express-entry-22-23",3,
"ircc-ircc-newcomer-services22-23-22-23",2,
"ircc-ircc-iec-23-24",2,
