"Topic","Clicks",
"Visiter",23423,
"Étudier",20357,
"Travailler",19566,
"Citoyenneté",5264,
"Nouveaux immigrants",3559,
"Réfugiés et octroi de l’asile",1636,
"Canadiens",727,
"Fraudes et arnaques en matière d’immigration",427,
,,
,,
